GENEID,baseMean,log2FoldChange,lfcSE,pvalue,padj,SYMBOL
ENSMUSG00000033845,2065.60105670575,-0.169396232825832,0.0609142007705782,0.00518989391729973,0.0108158083536716,Mrpl15
ENSMUSG00000025903,3149.10529926032,-0.189620422175893,0.0794004910150086,0.0156834401875903,0.0296572749747854,Lypla1
ENSMUSG00000033813,3325.36100463326,0.0427121382218491,0.0619465570952711,0.489587578607671,0.586180562566314,Tcea1
ENSMUSG00000002459,3.60178413400662,-0.0792552959343191,0.60126429259195,0.767866805207545,0.828438887147527,Rgs20
ENSMUSG00000033793,2588.02381215012,-0.209814870627739,0.0537322867458041,8.7101469386425e-05,0.000240536552047816,Atp6v1h
ENSMUSG00000025905,2.06336969814628,0.32108658324061,0.723661790655674,0.197430498048629,0.278862299265713,Oprk1
ENSMUSG00000025907,5847.45526517164,-0.026234594137111,0.058357916447797,0.647368466354316,0.728663726074244,Rb1cc1
ENSMUSG00000033740,1.396692682777,0.0815534625024097,0.639067853887866,0.681449857472344,0.757285338828946,St18
ENSMUSG00000051285,3535.03273110378,0.461600508108823,0.0584639990559527,2.39728211658547e-15,1.59253137791763e-14,Pcmtd1
ENSMUSG00000061024,1383.52576891371,-0.0689717099329948,0.0819819316104492,0.395524887994868,0.496133883982933,Rrs1
ENSMUSG00000025911,6.72804771524508,0.286554383636021,0.548218221276305,0.409155120701259,0.510436331407401,Adhfe1
ENSMUSG00000025912,287.45920899966,-0.789452046525799,0.135948819331043,2.8410377815302e-09,1.26099605195405e-08,Mybl1
ENSMUSG00000045210,5864.15504455001,-0.111848951447279,0.043337480999869,0.00993872871486702,0.0195412742547266,Vcpip1
ENSMUSG00000025915,500.143715137999,-0.582975302413614,0.0995217433762811,2.99079524835526e-09,1.32547961248587e-08,Sgk3
ENSMUSG00000046101,23.5314076791767,-0.0562018196208177,0.349951959806462,0.849071903089633,0.891897647089029,Mcmdc2
ENSMUSG00000025917,2653.20499084747,-0.25765374563598,0.050252075577277,2.67769383546147e-07,9.85426755700892e-07,Cops5
ENSMUSG00000056763,2886.77106146182,-0.0689770581259259,0.0671596376630978,0.305601736462854,0.401235891328979,Cspp1
ENSMUSG00000067851,11669.7943590266,0.441652213853925,0.0497799639396114,6.25418167591346e-19,4.8787001576054e-18,Arfgef1
ENSMUSG00000042501,0.981895181355654,0.27001053923024,0.717066392406667,0.167102058858082,0.241633330816968,Cpa6
ENSMUSG00000048960,10.7371684489785,0.0697364064467401,0.447000154920672,0.836345550071092,0.881857706531695,Prex2
ENSMUSG00000016918,1.70021655984959,-0.206294789549507,0.680583596605036,0.298273777809985,0.393172187402601,Sulf1
ENSMUSG00000025938,58.0310870734855,-1.88568169274424,0.304681002995493,7.86534709662819e-11,3.94102209942985e-10,Slco5a1
ENSMUSG00000042414,1.1220807486995,-0.00838012451789183,0.645419752478422,0.964767362217121,0.9759185693908,Prdm14
ENSMUSG00000005886,11537.3010595152,0.0869296352758554,0.0621270101083085,0.163383340338024,0.237003973906857,Ncoa2
ENSMUSG00000025935,10448.9459697636,-0.210066853249083,0.0410993848274898,2.99097788855869e-07,1.09554322943727e-06,Tram1
ENSMUSG00000025937,1269.38842515966,-0.39308212833456,0.0649662439687669,1.18128016310239e-09,5.39964271737353e-09,Lactb2
ENSMUSG00000025932,2.97274600659473,-0.421175220344008,0.750059642132768,0.161317615243986,0.234444053575037,Eya1
ENSMUSG00000025930,218.9213937643,0.773470297724153,0.144867916384424,4.37537562137596e-08,1.73832189313427e-07,Msc
ENSMUSG00000032769,4.53185614613241,-0.2279318691032,0.59557482683864,0.466653675699646,0.564273147562608,Trpa1
ENSMUSG00000025925,1967.52836898164,0.0477114792844353,0.0735150565679673,0.514591391296137,0.610408825670862,Terf1
ENSMUSG00000032719,42.1909603261199,-0.290809793299885,0.333038500291775,0.312497543548354,0.408602210290101,Sbspon
ENSMUSG00000043716,46475.7185407819,-0.00439034034403957,0.0444839464809538,0.883241859241504,0.919359994872654,Rpl7
ENSMUSG00000025921,594.914291241466,0.128469189552647,0.0863353929159239,0.133303345233365,0.198946111519962,Rdh10
ENSMUSG00000025920,69.4391973613406,0.946695289196364,0.282782795718413,0.000276444586512779,0.000710401479494568,Stau2
ENSMUSG00000025939,986.161480398452,0.245127085977009,0.077975025834126,0.00156608086457217,0.00356568367557809,Ube2w
ENSMUSG00000079658,2688.5113297107,-0.161023433821155,0.0608467198015693,0.00782856254334264,0.0157399777104016,Tceb1
ENSMUSG00000025940,1070.54493481262,-0.0616773348363239,0.078996646028263,0.432886998096173,0.533379234069618,Tmem70
ENSMUSG00000025779,129.671011665621,0.312803622685751,0.179216276547859,0.0701407760624479,0.113652278916249,Ly96
ENSMUSG00000042686,1.84241549014869,-0.285425790323357,0.692729061279525,0.256568216355862,0.346464950970147,Jph1
ENSMUSG00000025777,1.10502118481281,0.208043202583884,0.706066800481645,0.156309580644244,0.228144912140544,Gdap1
ENSMUSG00000067780,3.1504807391083,0.105476522396083,0.574814255371063,0.733195972773972,0.801142953662431,Pi15
ENSMUSG00000025929,6.93844475881492,0.251940564146709,0.518508528005606,0.469062992079539,0.566395108178828,Il17a
ENSMUSG00000041872,8.94535149803975,0.154559457994746,0.491139597878876,0.649618450685805,0.730457357065358,Il17f
ENSMUSG00000041859,10779.9915736692,-0.501089012158487,0.0366507351079811,1.22465966173161e-42,2.02309100853181e-41,Mcm3
ENSMUSG00000025931,238.809117813268,1.18010278518001,0.144991686434611,1.04378785810903e-16,7.38760892940591e-16,Paqr8
ENSMUSG00000041809,12.6992918827578,0.75546394419807,0.652101596843158,0.0726544196031908,0.117298222466422,Efhc1
ENSMUSG00000041779,1033.60605385337,-0.317973503096517,0.0901758252876658,0.000367528447472631,0.000925235642328483,Tram2
