GENEID,baseMean,log2FoldChange,lfcSE,pvalue,padj,SYMBOL
ENSMUSG00000021765,9.33763190522032,1.72763550820561,2.42173796202151,0.011975616841337,0.0231746781558196,Fst
ENSMUSG00000042284,1529.28139208979,-1.47273401419555,0.0607815307243831,1.59813764213973e-130,9.25493984730586e-129,Itga1
ENSMUSG00000095514,69.0946340297585,-2.59372573829382,0.269363567123421,4.95516857344889e-23,4.6782797598295e-22,D13Ertd608e
ENSMUSG00000094027,63.350172979345,-2.31499387540203,0.291621503419814,2.22133972722487e-16,1.55105469613218e-15,Gm21762
ENSMUSG00000020635,9.81208430094812,-3.59842621028105,1.00845651051047,5.52128080413917e-05,0.000157039460228008,Fkbp1b
ENSMUSG00000054364,2077.9141268957,1.60353384741717,0.0663282359883035,6.02709111492138e-130,3.47740834771279e-128,Rhob
ENSMUSG00000020592,55.1568719912177,-1.73961325078303,0.307076546560917,2.04357410657475e-09,9.16109278625076e-09,Sdc1
ENSMUSG00000066643,131.922429668976,1.01713975596553,0.193307705508396,4.5611607667883e-08,1.80706415119604e-07,Wdr35
ENSMUSG00000020607,398.387424229511,5.46016861916671,0.185212180453173,2.73373943971842e-191,2.36589961066298e-189,Fam84a
ENSMUSG00000050974,27.204683271576,1.17890775734024,0.42109295369553,0.0011138492565185,0.00259906167628387,Gm9847
ENSMUSG00000020601,8352.65606940763,2.50988757391151,0.0415894335735214,0,0,Trib2
ENSMUSG00000020593,7962.32581214939,-1.50132339711682,0.0446820359837539,2.67258690780439e-248,3.33068470798214e-246,Lpin1
ENSMUSG00000051726,41.3492884814468,3.78859414705945,1.2630080681308,0.000241933107538717,0.000627825079000189,Kcnf1
ENSMUSG00000011179,19199.7383175113,1.47940389488577,0.0393147186000225,0,0,Odc1
ENSMUSG00000020656,894.196467584546,1.37195643644032,0.0962715440404641,1.00930870985621e-46,1.81979294932176e-45,Grhl1
ENSMUSG00000036136,35.6970726526265,3.4611699559198,0.404112176339325,1.30468220717853e-18,1.00565756672079e-17,Fam110c
ENSMUSG00000002900,6.04892277114674,1.6983413151826,1.21834022072209,0.0118669810212631,0.0229843914008233,Lamb1
